City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
176,Celestun,MX,2022-10-02 06:42:53,20.8667,-90.4,75.69,72,57,2.98
177,Neiafu,TO,2022-10-02 06:42:53,-18.65,-173.9833,77.68,78,20,9.22
178,Myitkyina,MM,2022-10-02 06:42:54,25.3833,97.4,90.66,57,93,2.1
179,Bichena,ET,2022-10-02 06:42:54,10.45,38.2,60.35,72,32,4.56
180,Ribeira Grande,PT,2022-10-02 06:42:55,38.5167,-28.7,72.0,88,40,16.11
181,San Andres,CO,2022-10-02 06:42:55,12.5847,-81.7006,77.02,100,75,2.3
182,Carutapera,BR,2022-10-02 06:42:56,-1.195,-46.02,78.06,80,41,8.08
183,Saint George,US,2022-10-02 06:43:56,37.1041,-113.5841,75.94,37,40,6.91
184,Kavaratti,IN,2022-10-02 06:43:57,10.5669,72.642,81.25,78,100,12.3
185,Virden,US,2022-10-02 06:43:57,39.5009,-89.7679,53.65,76,0,7.43
186,Lagoa,PT,2022-10-02 06:43:57,39.05,-27.9833,70.39,88,100,25.59
187,Yatou,CN,2022-10-02 06:43:58,37.15,122.3833,73.35,95,100,17.11
188,Pangnirtung,CA,2022-10-02 06:43:58,66.1451,-65.7125,28.74,51,5,5.14
189,Ugoofaaru,MV,2022-10-02 06:43:59,5.6667,73.0,82.44,74,100,18.39
190,Kota Bahru,MY,2022-10-02 06:43:59,6.1333,102.2386,87.75,66,20,5.99
191,Vila Franca Do Campo,PT,2022-10-02 06:43:59,37.7167,-25.4333,72.19,78,100,13.38
192,Mahebourg,MU,2022-10-02 06:44:00,-20.4081,57.7,77.25,53,75,11.5
193,Port Alfred,ZA,2022-10-02 06:44:00,-33.5906,26.891,64.18,87,32,9.73
194,College,US,2022-10-02 06:44:00,64.8569,-147.8028,44.55,88,75,0.0
195,Dom Pedrito,BR,2022-10-02 06:44:01,-30.9828,-54.6731,50.23,93,0,5.75
196,Khani,GE,2022-10-02 06:44:01,41.9563,42.9566,67.57,35,59,4.85
197,Martapura,ID,2022-10-02 06:44:02,-3.4167,114.85,87.6,64,89,4.21
198,Salalah,OM,2022-10-02 06:44:02,17.0151,54.0924,84.29,70,40,8.05
199,Zhigansk,RU,2022-10-02 06:44:02,66.7697,123.3711,28.54,71,88,3.98
200,Umba,RU,2022-10-02 06:44:03,66.6871,34.3429,39.09,82,27,4.5
201,Demirci,TR,2022-10-02 06:44:03,39.0461,28.6589,76.77,34,79,9.93
202,Thompson,CA,2022-10-02 06:44:04,55.7435,-97.8558,39.36,70,40,0.0
203,Colac,AU,2022-10-02 06:44:04,-38.3333,143.5833,61.18,53,76,3.96
204,Bethel,US,2022-10-02 06:44:04,41.3712,-73.414,60.49,59,100,1.01
205,Russell,US,2022-10-02 06:42:32,32.3502,-85.1999,64.0,94,0,0.0
206,Selikhino,RU,2022-10-02 06:44:05,50.3672,137.4996,51.67,77,100,9.17
207,Hasaki,JP,2022-10-02 06:44:05,35.7333,140.8333,81.21,60,70,11.27
208,Lalmohan,BD,2022-10-02 06:44:06,22.3384,90.7419,82.24,83,100,11.63
209,Carberry,CA,2022-10-02 06:43:22,49.8689,-99.3602,48.43,88,100,4.21
210,Namibe,AO,2022-10-02 06:44:06,-15.1961,12.1522,66.7,80,5,4.27
211,Tuatapere,NZ,2022-10-02 06:44:07,-46.1333,167.6833,45.28,88,73,3.89
212,Kavieng,PG,2022-10-02 06:44:07,-2.5744,150.7967,83.3,74,13,9.19
213,Touros,BR,2022-10-02 06:44:08,-5.1989,-35.4608,74.95,79,0,13.69
214,Yulara,AU,2022-10-02 06:44:08,-25.2406,130.9889,76.37,44,93,14.61
215,Zavitinsk,RU,2022-10-02 06:44:09,50.1167,129.45,46.11,98,100,6.91
216,Naica,MX,2022-10-02 06:44:09,27.85,-105.4833,63.79,59,6,3.8
217,Stokmarknes,NO,2022-10-02 06:44:10,68.5646,14.9108,39.18,81,100,6.91
218,Bowen,AU,2022-10-02 06:44:10,-20.0167,148.2333,76.08,62,64,10.58
219,Pandan,PH,2022-10-02 06:44:10,14.0453,124.1694,83.12,84,100,12.24
220,Saint-Pierre,RE,2022-10-02 06:44:11,-21.3393,55.4781,76.68,50,0,23.02
221,Qaanaaq,GL,2022-10-02 06:44:11,77.484,-69.3632,5.76,68,6,8.25
222,Fortuna,US,2022-10-02 06:44:12,40.5982,-124.1573,56.93,88,33,2.19
223,Katangli,RU,2022-10-02 06:44:12,51.7102,143.2326,48.24,67,95,12.93
224,Naduvattam,IN,2022-10-02 06:44:12,11.4833,76.5667,65.48,69,100,3.98
225,Khasan,RU,2022-10-02 06:44:13,42.4308,130.6434,61.92,94,100,10.96
226,Yerbogachen,RU,2022-10-02 06:44:13,61.2767,108.0108,32.36,65,100,8.75
227,Puerto Leguizamo,CO,2022-10-02 06:45:14,-0.1934,-74.7819,69.87,98,98,0.51
228,Jaciara,BR,2022-10-02 06:44:12,-15.9653,-54.9683,74.32,75,88,1.48
229,Toucheng,TW,2022-10-02 06:45:14,24.8592,121.8233,93.15,74,20,11.14
